Id,SalePrice
1461,123214.27
1462,161641.77
1463,187425.83
1464,190125.9
1465,191801.19
1466,167983.45
1467,176234.0
1468,164435.95
1469,181716.66
1470,122999.19
1471,197978.17
1472,94271.17
1473,95722.51
1474,150037.16
1475,119912.016
1476,396169.06
1477,255743.66
1478,271631.2
1479,270471.84
1480,499518.44
1481,331225.25
1482,207123.53
1483,171735.19
1484,164352.23
1485,182781.4
1486,198799.69
1487,337644.1
1488,232332.78
1489,196943.77
1490,224803.11
1491,191754.38
1492,88394.805
1493,180540.5
1494,300537.4
1495,292646.28
1496,220962.7
1497,179205.22
1498,150712.9
1499,150647.66
1500,144394.17
1501,169275.3
1502,143846.73
1503,297651.66
1504,243563.53
1505,216332.08
1506,189219.84
1507,251995.39
1508,190035.08
1509,159982.39
1510,141442.6
1511,147115.8
1512,176838.75
1513,138717.28
1514,162253.38
1515,204223.75
1516,152591.16
1517,161493.08
1518,135708.86
1519,229107.6
1520,133176.17
1521,137628.19
1522,170444.56
1523,116152.875
1524,123214.625
1525,125489.27
1526,113240.24
1527,100440.34
1528,134364.77
1529,153349.75
1530,164509.36
1531,105047.42
1532,99153.31
1533,150873.11
1534,126515.734
1535,157130.9
1536,106444.05
1537,61452.51
1538,163436.45
1539,200951.72
1540,91044.625
1541,144695.66
1542,142076.52
1543,205841.8
1544,74988.93
1545,108913.15
1546,129406.6
1547,134770.44
1548,135686.6
1549,108583.87
1550,132209.73
1551,111302.62
1552,138579.11
1553,149496.27
1554,116438.02
1555,164855.83
1556,81266.08
1557,108733.914
1558,93212.33
1559,74523.02
1560,137712.34
1561,129202.76
1562,133852.92
1563,120677.22
1564,165122.69
1565,152404.56
1566,232991.33
1567,73361.83
1568,219267.4
1569,133261.8
1570,135719.22
1571,120739.95
1572,146020.77
1573,257711.89
1574,111274.6
1575,224711.8
1576,231391.03
1577,180514.16
1578,145599.42
1579,145765.31
1580,200121.14
1581,150676.25
1582,125945.836
1583,332784.3
1584,223587.19
1585,141386.5
1586,78682.19
1587,97268.42
1588,144694.97
1589,103051.766
1590,138002.64
1591,96271.81
1592,123350.66
1593,123592.05
1594,127751.81
1595,116758.72
1596,234995.47
1597,178827.4
1598,208949.6
1599,172813.94
1600,171370.17
1601,69167.14
1602,113177.41
1603,77130.74
1604,259062.25
1605,254720.86
1606,171019.64
1607,171137.44
1608,218007.17
1609,186171.16
1610,150113.3
1611,140720.1
1612,159752.47
1613,165945.0
1614,120362.63
1615,89063.125
1616,76774.516
1617,95035.75
1618,127348.695
1619,136520.3
1620,168745.34
1621,139795.8
1622,145178.05
1623,288083.66
1624,211944.58
1625,123719.055
1626,162531.98
1627,189983.8
1628,270470.28
1629,174049.62
1630,363311.12
1631,217554.19
1632,238970.6
1633,168443.06
1634,188266.73
1635,171123.56
1636,150467.89
1637,198895.62
1638,178674.67
1639,177631.14
1640,267189.22
1641,173820.72
1642,225862.97
1643,224331.53
1644,232524.52
1645,193568.58
1646,155098.53
1647,160770.84
1648,130780.39
1649,137252.53
1650,111080.25
1651,124095.06
1652,94449.72
1653,98770.05
1654,149521.06
1655,148512.06
1656,143687.0
1657,149801.25
